Wall time,Step,Value
1687777037.637932,10000,-1544.3660888671875
1687777099.2648163,20000,-900.1532592773438
1687777161.3505044,30000,-923.5433959960938
1687777223.3239422,40000,-1240.1197509765625
1687777284.7974539,50000,-678.4165649414062
1687777346.8030639,60000,-738.6493530273438
1687777408.483433,70000,-641.0685424804688
1687777469.5352647,80000,-646.73681640625
1687777531.266218,90000,-986.5794067382812
1687777592.67352,100000,-876.6385498046875
1687777654.7407043,110000,-433.51348876953125
1687777716.5962396,120000,-1029.8834228515625
1687777778.2144432,130000,-574.0646362304688
1687777841.6365716,140000,-480.16094970703125
1687777904.4351242,150000,-520.677734375
1687777966.4667635,160000,-663.4224243164062
1687778026.573763,170000,-499.7138977050781
1687778087.801513,180000,-623.2740478515625
1687778150.067329,190000,-491.17681884765625
1687778212.295129,200000,-338.8113098144531
1687778274.2592225,210000,-500.933837890625
1687778337.0245929,220000,-544.5903930664062
1687778397.6176136,230000,-457.1266174316406
1687778459.8666961,240000,-550.6802978515625
1687778522.27928,250000,-471.66314697265625
1687778585.218918,260000,-460.7496337890625
1687778647.5440714,270000,-854.6497192382812
1687778709.8151119,280000,-384.531494140625
1687778772.1269095,290000,-340.65728759765625
1687778834.3279765,300000,-479.7148742675781
1687778895.6854408,310000,-979.5380859375
1687778957.635283,320000,-318.8837585449219
1687779019.5445273,330000,-365.17938232421875
1687779080.674398,340000,-351.6693115234375
1687779142.017958,350000,-400.47979736328125
1687779203.807145,360000,-642.0780029296875
1687779265.4633741,370000,-343.1160583496094
1687779326.343935,380000,-538.157958984375
1687779387.8390377,390000,-344.39794921875
1687779450.1074612,400000,-437.74761962890625
1687779513.443561,410000,-355.09906005859375
1687779573.1702898,420000,-483.15765380859375
1687779634.7037632,430000,-489.8406066894531
1687779694.1096172,440000,-647.213134765625
1687779755.238913,450000,-531.8145751953125
1687779816.9914174,460000,-382.49774169921875
1687779878.2699342,470000,-442.8977355957031
1687779939.9442928,480000,-411.11505126953125
1687780001.843263,490000,-267.69989013671875
1687780063.1360703,500000,-431.31085205078125
