Wall time,Step,Value
1688626624.7065027,10000,-1244.9559326171875
1688626698.682184,20000,-697.8433837890625
1688626775.678976,30000,-397.8328552246094
1688626841.6007643,40000,-29.30190658569336
1688626919.6431253,50000,-213.75213623046875
1688626992.06007,60000,-208.97030639648438
1688627058.4680073,70000,-23.456144332885742
1688627130.4408329,80000,-103.0584487915039
1688627205.5789192,90000,-198.98635864257812
1688627277.3442729,100000,-148.82655334472656
1688627346.327547,110000,-34.378456115722656
1688627415.529877,120000,-60.73408889770508
1688627490.7230206,130000,-156.76292419433594
1688627563.294951,140000,-182.9334259033203
1688627635.4156694,150000,-106.40998840332031
1688627705.4371233,160000,-129.67198181152344
1688627781.8259375,170000,-267.0841064453125
1688627854.9179509,180000,-157.7225799560547
1688627930.822353,190000,-116.59918212890625
1688628006.2674975,200000,-227.7284393310547
1688628073.4578137,210000,-23.49715232849121
1688628143.1158936,220000,-163.41409301757812
1688628212.6371794,230000,-57.61417007446289
1688628286.7998743,240000,-165.3126220703125
1688628356.7282753,250000,-111.07190704345703
1688628429.0193195,260000,-67.11097717285156
1688628498.77606,270000,-61.15892791748047
1688628569.7296836,280000,-106.81891632080078
1688628643.1165304,290000,-172.63914489746094
1688628713.1325288,300000,-37.13468933105469
1688628781.7129714,310000,-41.83051300048828
1688628850.8208268,320000,-44.854957580566406
1688628920.4991238,330000,-116.03955078125
1688628990.5162406,340000,-56.28889465332031
1688629062.7864244,350000,-182.14248657226562
1688629142.0638046,360000,-190.01229858398438
1688629215.7525125,370000,-147.64720153808594
1688629288.835226,380000,-126.50857543945312
1688629367.5069838,390000,-211.23284912109375
1688629437.770178,400000,-105.26713562011719
1688629506.3168616,410000,-29.52313232421875
1688629579.4605134,420000,-105.85203552246094
1688629650.1214347,430000,-43.407161712646484
1688629718.3643575,440000,-39.146888732910156
1688629790.5180068,450000,-196.14901733398438
1688629859.6349628,460000,-34.55440139770508
1688629931.5508642,470000,-77.7835693359375
1688630003.2292807,480000,-75.43020629882812
1688630072.4758077,490000,-56.42898178100586
1688630138.566563,500000,-24.44159507751465
